Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width,Krumbein Rnd
 , ,mm,mm,mm,mm,mm,mm,mm,mm,mm≥,mm≤,mm,mm≤,mm, , , , , , , , , , , , , , ,mm≤, , , , , , , , , , , ,mm≤,mm, , ,mm,mm, 
337,16107,1.95,2.72,1.164,3.75,1.164,3.8,1.088,1.088,2.661,2.986,8.546,3.327,8.433,0.717,3.221,0.31,0.52,0.27,0.286,0.514,0.897,0.103,0.987,0.684,0,0.252,0,11.945,Reject,Reject,Reject,Reject,Reject,Reject,Reject,3.221,0.31,1,1,13.31,1.164,25.556,3.491,3.376,0.885,0.654
68,8492,1.935,2.345,1.636,2.692,1.636,2.736,1.489,1.489,3.772,2.94,7.367,3.352,7.16,0.825,1.646,0.608,0.719,0.516,0.544,0.681,0.877,0.123,0.972,0.668,0,0.214,0,11.761,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.646,0.608,1,1,13.407,1.636,28.824,1.837,2.469,1.191,0.631
20,5707,1.891,2.242,1.48,2.502,1.48,2.512,1.431,1.431,2.87,2.809,7.043,2.931,6.438,0.844,1.69,0.592,0.756,0.571,0.57,0.712,0.958,0.042,0.914,0.758,0,0.428,0,11.236,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.69,0.592,1,1,11.724,1.48,36.333,1.755,2.3,1.221,0.421
70,8494,1.881,2.256,1.572,2.583,1.572,2.655,1.444,1.444,3.344,2.777,7.087,3.137,6.908,0.834,1.643,0.609,0.728,0.53,0.544,0.695,0.886,0.114,0.975,0.684,0,0.261,0.322,11.11,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.643,0.609,1,1,12.546,1.572,29.333,1.838,2.325,1.194,0.698
619,16246,1.856,2.489,1.445,3.286,1.445,3.079,1.236,1.236,3.591,2.705,7.819,3.04,7.549,0.746,2.274,0.44,0.565,0.319,0.401,0.556,0.89,0.11,0.966,0.57,0,0.15,0,10.818,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.274,0.44,1,1,12.16,1.445,28.75,2.491,2.99,0.905,0.626
60,8464,1.851,2.466,1.37,2.449,1.37,2.498,1.391,1.391,2.407,2.692,7.748,2.881,6.474,0.751,1.787,0.56,0.756,0.572,0.557,0.563,0.934,0.066,0.836,0.802,0,0.578,0,10.769,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.787,0.56,1,1,11.525,1.37,64.4,1.796,2.967,0.907,0.262
66,8490,1.788,2.085,1.679,2.358,1.679,2.207,1.557,1.557,3.482,2.51,6.55,2.757,6.383,0.857,1.404,0.712,0.758,0.575,0.706,0.735,0.91,0.09,0.974,0.634,0,0.23,0,10.04,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.404,0.712,1,1,11.028,1.679,33.571,1.417,2.045,1.227,0.662
69,8493,1.731,2.007,1.605,2.283,1.605,2.167,1.488,1.488,3.081,2.354,6.305,2.58,6.175,0.863,1.422,0.703,0.758,0.575,0.687,0.744,0.912,0.088,0.979,0.642,0,0.242,0,9.414,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.422,0.703,1,1,10.321,1.605,29.286,1.456,1.891,1.245,0.626
63,8487,1.684,1.991,1.447,2.396,1.447,2.218,1.357,1.357,2.626,2.226,6.253,2.443,6.087,0.846,1.657,0.604,0.703,0.494,0.612,0.715,0.911,0.089,0.973,0.642,0,0.212,0,8.905,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.657,0.604,1,1,9.773,1.447,35.556,1.635,2.002,1.112,0.715
328,16102,1.648,1.991,1.8,2.489,1.046,2.317,0.972,1.727,2.454,2.133,6.255,2.327,6.131,0.828,2.38,0.42,0.662,0.438,0.419,0.685,0.917,0.083,0.98,0.82,0,0.237,0,8.532,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.382,0.723,1.722,0.581,9.309,1.423,32.5,2.385,2.341,1.107,0.512
