Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Rectangularity,CylDia,CylLength,CylFit,Angularity,Ellipticity,Fiber Length,Fiber Width
 , ,µm,µm,µm,µm,µm,µm,µm,µm,µm³,µm²,µm,µm²,µm, , , , , , , , , , , , ,µm², , , , , , , , , , , ,µm²,µm, ,µm,µm, , , ,µm,µm
3291,8328,268.332,472.731,448.456,797.776,70.891,825.059,61.026,503.466,13279846.79,56550.335,1485.128,83920.978,1406.225,0.568,11.253,0.089,0.336,0.113,0.074,0.322,0.674,0.326,0.947,1,0,226201.341,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.779,0.562,6.326,0.158,335683.912,259.674,0.753,157.925,666.468,0,68,13.52,1150.566,59.944
1072,7358,452.933,836.609,583.049,967.002,91.587,1159.138,70.689,497.612,27037340.75,161123.35,2628.284,261184.812,2022.699,0.541,10.558,0.095,0.468,0.219,0.061,0.293,0.617,0.383,0.77,1.819,0,644493.401,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.659,0.603,6.366,0.157,1044739.246,337.318,0.624,419.331,549.113,0,62.759,16.398,1570.224,107.073
9618,17646,412.125,614.421,538.397,715.689,219.492,667.275,189.623,486.872,44283698.25,133397.281,1930.261,173675.343,1678.211,0.671,3.261,0.307,0.576,0.332,0.284,0.45,0.768,0.232,0.869,0.849,0,533589.125,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.329,0.752,2.453,0.408,694701.374,378.944,0.569,579.005,598.9,0,63,3.519,1089.414,181.028
2650,8049,442.487,784.835,549.156,952.056,294.379,882.66,269.531,483.15,80586820.82,153776.959,2465.631,231169.179,1927.594,0.564,3.234,0.309,0.465,0.216,0.305,0.318,0.665,0.335,0.782,0.549,0,615107.834,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.734,0.577,1.865,0.536,924676.716,421.768,0.614,295.812,717.536,0,67.353,3.275,1467.52,141.813
925,7304,462.185,816.802,567.676,780.641,345.771,778.288,292.85,478.761,80230317.8,167772.949,2566.059,247765.839,1934.346,0.566,2.258,0.443,0.592,0.351,0.376,0.32,0.677,0.323,0.754,0.622,0,671091.795,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.375,0.727,1.642,0.609,991063.356,456.723,0.622,462.582,707.129,0,66.216,2.658,1378.739,128.929
12288,74953,387.792,600.362,500.824,746.327,259.88,788.233,222.345,476.289,50861077.93,118110.403,1886.094,160735.771,1611.599,0.646,2.872,0.348,0.52,0.27,0.282,0.417,0.735,0.265,0.854,0.609,0,472441.614,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.49,0.671,1.927,0.519,642943.084,380.352,0.689,283.292,585.16,0,70,3.545,1142.179,108.982
6288,11037,333.856,481.299,498.064,647.833,179.693,643.838,177.314,466.245,30358246.7,87540.314,1512.046,102671.951,1431.91,0.694,3.605,0.277,0.515,0.266,0.275,0.481,0.853,0.147,0.947,0.752,0,350161.254,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.301,0.769,2.772,0.361,410687.804,338.878,0.753,189.782,607.214,0,53,3.631,942.605,132.055
1689,7651,378.124,596.123,502.305,777.585,314.664,791.502,312.456,465.604,64351902.01,112294.368,1872.776,162152.693,1574.959,0.634,2.471,0.405,0.486,0.236,0.395,0.402,0.693,0.307,0.841,0.459,0,449177.474,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.548,0.646,1.596,0.626,648610.771,408.485,0.681,352.934,495.397,0,60,2.533,1227.024,110.68
37,6341,355.012,573.159,429.875,731.368,165.335,798.6,131.468,463.54,27217008.42,98986.29,1800.631,133591.458,1631.655,0.619,4.424,0.226,0.485,0.236,0.165,0.384,0.741,0.259,0.906,0.819,0,395945.162,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.701,0.588,2.6,0.385,534365.833,297.605,0.76,260.989,611.647,0,56.429,6.074,1034.786,103.979
579,7101,488.877,805.543,564.37,882.09,463.741,900.326,369.02,462.855,120878962.2,187710.494,2530.689,258915.961,2039.603,0.607,1.902,0.526,0.554,0.307,0.41,0.368,0.725,0.275,0.806,0.459,0,750841.975,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.563,0.64,1.217,0.822,1035663.843,514.055,0.559,598.053,624.658,0,58.421,2.44,1417.236,156.731
6326,11093,357.925,684.233,494.409,815.772,115.929,791.568,110.06,459.328,24481941.24,100617.841,2149.582,186645.001,1787.518,0.523,7.037,0.142,0.439,0.193,0.139,0.274,0.539,0.461,0.832,1.064,0,402471.364,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.65,0.606,4.265,0.234,746580.005,305.169,0.705,130.81,443.49,0,58.889,7.192,1227.439,113.525
4366,9035,398.716,612.294,458.187,921.181,207.726,1010.403,202.483,458.606,45906793.36,124858.528,1923.579,167150.304,1691.986,0.651,4.435,0.225,0.433,0.187,0.2,0.424,0.747,0.253,0.88,0.653,0,499434.114,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2.01,0.497,2.206,0.453,668601.215,332.956,0.699,309.651,411.134,0,60.5,4.99,967.733,129.491
3421,8386,453.325,677.316,505.757,777.018,404.644,713.476,302.092,458.113,83261491.33,161402.166,2127.852,211511.865,1794.252,0.669,1.92,0.521,0.583,0.34,0.423,0.448,0.763,0.237,0.843,0.513,0,645608.664,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.536,0.651,1.25,0.8,846047.461,455.2,0.621,447.638,516.014,0,63.636,2.362,979.9,159.234
11089,20625,376.197,500.554,501.475,705.542,170.005,708.867,163.872,457.883,31494366.76,111152.82,1572.536,134447.694,1415.215,0.752,4.15,0.241,0.533,0.284,0.231,0.565,0.827,0.173,0.9,0.927,0,444611.281,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.407,0.711,2.95,0.339,537790.775,335.74,0.78,312.179,340.372,0,61.667,4.326,935.131,144.34
9884,18077,333.208,492.948,492.591,601.812,287.1,560.736,240.217,456.165,44563448.36,87200.865,1548.641,117339.73,1363.736,0.676,2.096,0.477,0.554,0.307,0.428,0.457,0.743,0.257,0.881,0.505,0,348803.461,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.222,0.819,1.716,0.583,469358.921,389.845,0.633,297.338,435.566,0,62.4,2.334,835.267,156.733
1684,7651,353.877,517.49,478.193,693.9,123.48,671.562,112.031,451.871,21453436.71,98354.846,1625.743,121660.568,1483.458,0.684,5.62,0.178,0.51,0.26,0.167,0.468,0.808,0.192,0.912,1.148,0,393419.385,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.451,0.689,3.873,0.258,486642.271,300.837,0.667,241.201,567.235,0,57.692,5.994,939.885,154.569
10541,19406,283.209,469.419,443.47,621.467,146.383,549.778,128.566,450.892,21123791.85,62994.562,1474.724,81797.846,1323.691,0.603,4.245,0.236,0.456,0.208,0.234,0.364,0.77,0.23,0.898,0.692,0,251978.248,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.401,0.714,3.03,0.33,327191.383,294.927,0.615,146.832,557.631,0,58.333,4.276,1064.957,85.911
920,7298,364.939,562.877,432.896,710.846,134.138,734.668,115.96,447.98,21612798.86,104599.483,1768.329,135900.497,1590.575,0.648,5.299,0.189,0.513,0.264,0.158,0.42,0.77,0.23,0.899,1.097,0,418397.933,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.642,0.609,3.227,0.31,543601.99,283.517,0.615,379.095,492.51,0,57.059,6.336,1071.788,125.044
